"treat","text"
0,""
0,"Assuming the person has never been imprisoned before because he/she hasn't commited any crime in the country he/she came from they should be treated respectfully and should only sentenced with probation.
Furthermore i think entering a non foreign country isn't really a """"bad"""" crime expect the person wants to commit some serious crimes or terroristic actions."
0,"While the offender must certainly be deported, he hasn't committed a jailable offense other than just being here. Still, without further information about the case in question it's hard to make a determination."
0,"He doesnt have a criminal past, send him back home"
1,"I honestly don't know. He hasnt committed a crime in the United States at this point, so he can't be jailed. By entering the country illegally he HAS committed a crime, so I would recommend that he be deported instead. "
0,"He is not of any true harm. He should be warned and sent back."
1,"I think he should just be deported."
1,"People who are violent criminals should not be allowed to enter our country illegally.  He should be prosecuted for entering illegally to show their are consequences for breaking US law."
0,"He should be deported not imprisoned. The only thing he did was illegal enter the country, why waste money keeping him in prison when you can simply deport him."
1,"I believe the subject in question should not be sent to prison, I believe they should be deported. They have already served prison and had been deported previously. This is a person that we should not be helping because they are clearly not the kind of person that would help us should the roles switch."
0,"I think we should look into investigating his for coming over. we she check to see how long he plans to stay. if we don't have the resources or funding to do that then we should send him back to his country."
1,"there should be actions taken by those who disobey the law regardless of who committed the crim. someone like this man should show testament to others that if you commit a crimee in another country, there will be punishmesns "
1,"He has broken the law once again, he should be sent back to prison to do some time. He has been in prison for other reasons and one of the time was for a violent crime. He has a history and evidence of repeating unlawful actions, he should be put in prison. Citizen or no citizen if you break the law in United States, you should serve the time that is appropriate by the unlawful action you had taken in U.S. "
1,"I dont have enough details to form an opinion.  I dont know what he was convicted for prior to getting caught and knowing our justice system was he treated fairly and with good defence."
1,"The offender has already served time in prison and has proven he is a violent person. He was deported before and re-entered the country and has committed another crime. I suggest two possible punishments, one, he should be sentenced to a very long prison term and then deported. A second term is to deport him to his native country and make sure he serves a long sentence in one of their prisons."
1,"Even though this person is a past offender I would not want that person kept in the country under any circumstance. He is not our problem and we should not have to house him."
0,"i don't think he should be sent to prison. I do think that he should be sent back to where he came from and be blacklisted from entering u.s. again."
1,"He should be deported back to the country where he came from.  Assuming the crimes were not committed in this country, why should taxpayers pay to prison him."
1,"I said no because he hadn't committed any crimes yet, other than entering the country illegally.  I think he should just be deported. "
0,"I don't think he should go to prison, since the only thing he did wrong was enter the country illegally.  He should probably be sent back home, and maybe explain to him the right way to come back."
