tweet1,tweet2,text1,text2
561,259,"“My favorite Supreme Court Justice is” 
I had to cut the kid off right there.
What 13 year old has a favorite Supreme Court Justice?","Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
839,410,U.S. Supreme Court ruled 7 to 2 in favor of Colorado cake artist Jack Phillips in Masterpiece Cakeshop v. Colorado Civil Rights Commission. The ruling reversed the state’s decision to punish Phillips for living and working consistent with his religious beliefs about marriage.,Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.
128,283,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.,"Drumpf's way of saying to the SCOTUS, you can't rule against presidential power of commuting my partner in crime sentence,  NOW WHAT,  JOHN ROBERTS"
561,283,"“My favorite Supreme Court Justice is” 
I had to cut the kid off right there.
What 13 year old has a favorite Supreme Court Justice?","Drumpf's way of saying to the SCOTUS, you can't rule against presidential power of commuting my partner in crime sentence,  NOW WHAT,  JOHN ROBERTS"
321,24,It’s wild that a religious baker got a supreme court decision in his favor bc the people fighting him hated religion more than he hated gays,Supreme Court rules against @POTUS and now we get to see tax returns!! Someone in the Oval Office is going to be an angry orange guy today!
146,879,Aides report Trump just took a galkandic in his pants when the Supreme Court ruling came down.,#SCOTUS reaffirms @realDonaldTrump is not above the law!
297,517,In a 7-2 decision in favor of Masterpiece Cakeshop #SCOTUS cautions state government against bullying business owners into the equality movement #TuesdayThoughts #ToleranceMatters,"The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
410,517,Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.,"The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
882,899,Let’s go Supreme Court!!!! #smallwins,Way to reinforce the fact that if your straight and white you can do whatever you want #SCOTUS heaven forbid someone filled with hatred gets their feelings hurt. I bet he’s made cake for an LGBTQA+ wedding planner 😱 #MasterpieceCakeshop
899,860,Way to reinforce the fact that if your straight and white you can do whatever you want #SCOTUS heaven forbid someone filled with hatred gets their feelings hurt. I bet he’s made cake for an LGBTQA+ wedding planner 😱 #MasterpieceCakeshop,The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
872,259,"The Supreme Court ruled this week that business owners cannot be forced to celebrate events and express views that violate their conscience, while the President demands that NFL players stand for the anthem. #SCOTUS","Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
49,212,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
74,879,"This is fascinating. Apparently POTUS can kill someone in the middle of Mardi Gras and there's not a damn thing anyone can do about it. BUT POTUS cannot ...
* Name a Supreme Court justice in his last year in office ...
• Protect trans federal employees from discrimination....",#SCOTUS reaffirms @realDonaldTrump is not above the law!
228,297,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head",In a 7-2 decision in favor of Masterpiece Cakeshop #SCOTUS cautions state government against bullying business owners into the equality movement #TuesdayThoughts #ToleranceMatters
882,259,Let’s go Supreme Court!!!! #smallwins,"Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
839,879,U.S. Supreme Court ruled 7 to 2 in favor of Colorado cake artist Jack Phillips in Masterpiece Cakeshop v. Colorado Civil Rights Commission. The ruling reversed the state’s decision to punish Phillips for living and working consistent with his religious beliefs about marriage.,#SCOTUS reaffirms @realDonaldTrump is not above the law!
153,49,Justices #RBG &amp; #Sotomayor were the only two to vote correctly yesterday. #SCOTUS’s decision has made it even easier for people to deny or over charge women for the healthcare they need. Why is my body/health constantly under attack? #ACA,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.
228,932,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head","I gotta be honest, waking up on a Monday morning to hear about all of the many ways that the Supreme Court is fucking things up, makes me SO HAPPY that I got my #TubesTied in March! Our bodies and lives are OUR OWN! ✊🏻"
228,860,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head",The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
303,410,If the supreme Court sides with Trump on his taxes we know it's all @senatemajldr doing for STACKING the court with bought and paid for judges like KAVANAUGH. We will have to increase pressure on @GOP up for re-election on their votes and hold them ACCOUNTABLE vote them all OUT,Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.
860,259,The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.,"Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
932,212,"I gotta be honest, waking up on a Monday morning to hear about all of the many ways that the Supreme Court is fucking things up, makes me SO HAPPY that I got my #TubesTied in March! Our bodies and lives are OUR OWN! ✊🏻",I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
839,356,U.S. Supreme Court ruled 7 to 2 in favor of Colorado cake artist Jack Phillips in Masterpiece Cakeshop v. Colorado Civil Rights Commission. The ruling reversed the state’s decision to punish Phillips for living and working consistent with his religious beliefs about marriage.,the supreme court........sucks
146,212,Aides report Trump just took a galkandic in his pants when the Supreme Court ruling came down.,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
899,517,Way to reinforce the fact that if your straight and white you can do whatever you want #SCOTUS heaven forbid someone filled with hatred gets their feelings hurt. I bet he’s made cake for an LGBTQA+ wedding planner 😱 #MasterpieceCakeshop,"The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
303,356,If the supreme Court sides with Trump on his taxes we know it's all @senatemajldr doing for STACKING the court with bought and paid for judges like KAVANAUGH. We will have to increase pressure on @GOP up for re-election on their votes and hold them ACCOUNTABLE vote them all OUT,the supreme court........sucks
228,882,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head",Let’s go Supreme Court!!!! #smallwins
153,212,Justices #RBG &amp; #Sotomayor were the only two to vote correctly yesterday. #SCOTUS’s decision has made it even easier for people to deny or over charge women for the healthcare they need. Why is my body/health constantly under attack? #ACA,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
899,872,Way to reinforce the fact that if your straight and white you can do whatever you want #SCOTUS heaven forbid someone filled with hatred gets their feelings hurt. I bet he’s made cake for an LGBTQA+ wedding planner 😱 #MasterpieceCakeshop,"The Supreme Court ruled this week that business owners cannot be forced to celebrate events and express views that violate their conscience, while the President demands that NFL players stand for the anthem. #SCOTUS"
49,882,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,Let’s go Supreme Court!!!! #smallwins
74,303,"This is fascinating. Apparently POTUS can kill someone in the middle of Mardi Gras and there's not a damn thing anyone can do about it. BUT POTUS cannot ...
* Name a Supreme Court justice in his last year in office ...
• Protect trans federal employees from discrimination....",If the supreme Court sides with Trump on his taxes we know it's all @senatemajldr doing for STACKING the court with bought and paid for judges like KAVANAUGH. We will have to increase pressure on @GOP up for re-election on their votes and hold them ACCOUNTABLE vote them all OUT
128,356,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.,the supreme court........sucks
882,621,Let’s go Supreme Court!!!! #smallwins,"republicans when scotus didn’t favor obama: hell yeah! their job isn’t to answer to the president.

republicans when scotus doesn’t favor trump: 👁👄👁"
212,259,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.,"Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
882,860,Let’s go Supreme Court!!!! #smallwins,The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
49,297,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,In a 7-2 decision in favor of Masterpiece Cakeshop #SCOTUS cautions state government against bullying business owners into the equality movement #TuesdayThoughts #ToleranceMatters
128,879,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.,#SCOTUS reaffirms @realDonaldTrump is not above the law!
49,128,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.
128,882,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.,Let’s go Supreme Court!!!! #smallwins
321,212,It’s wild that a religious baker got a supreme court decision in his favor bc the people fighting him hated religion more than he hated gays,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
899,932,Way to reinforce the fact that if your straight and white you can do whatever you want #SCOTUS heaven forbid someone filled with hatred gets their feelings hurt. I bet he’s made cake for an LGBTQA+ wedding planner 😱 #MasterpieceCakeshop,"I gotta be honest, waking up on a Monday morning to hear about all of the many ways that the Supreme Court is fucking things up, makes me SO HAPPY that I got my #TubesTied in March! Our bodies and lives are OUR OWN! ✊🏻"
49,517,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,"The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
634,517,"Turn’s out, even Spanky’s SCOTUS agreed that he’s NOT above the law. BIG loss for Cheetoman. Show your taxes, big boy.","The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
410,879,Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.,#SCOTUS reaffirms @realDonaldTrump is not above the law!
228,517,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head","The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
561,860,"“My favorite Supreme Court Justice is” 
I had to cut the kid off right there.
What 13 year old has a favorite Supreme Court Justice?",The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
146,621,Aides report Trump just took a galkandic in his pants when the Supreme Court ruling came down.,"republicans when scotus didn’t favor obama: hell yeah! their job isn’t to answer to the president.

republicans when scotus doesn’t favor trump: 👁👄👁"
24,212,Supreme Court rules against @POTUS and now we get to see tax returns!! Someone in the Oval Office is going to be an angry orange guy today!,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
146,24,Aides report Trump just took a galkandic in his pants when the Supreme Court ruling came down.,Supreme Court rules against @POTUS and now we get to see tax returns!! Someone in the Oval Office is going to be an angry orange guy today!
24,532,Supreme Court rules against @POTUS and now we get to see tax returns!! Someone in the Oval Office is going to be an angry orange guy today!,"I’m having a hard time understanding the fact that the Supreme Court ruled on narrow grounds for the baker who refused to bake a wedding cake for a same-sex couple. It’s blatant discrimination, argument irrefutable."
517,860,"The SUPREME COURT today PROVED that PRAYERS WORK. @CNN @MSNBC @washingtonpost @nytimes @WSJ @AARP 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
410,259,Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.,"Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
601,212,The supreme court ruling today is very limited to the case and even got Justice Kagan on board so both sides declaring it a disaster/victory aren't accurate,I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
634,410,"Turn’s out, even Spanky’s SCOTUS agreed that he’s NOT above the law. BIG loss for Cheetoman. Show your taxes, big boy.",Trump can't pardon himself. in the Nixon case over the tapes Nixon argued for the right to self-pardoning./ SCOTUS said no. Nixon resigned 4 days later. Republicans have selective memory.
49,839,Why is everyone saying the SCOTUS decision was narrow? It was 7-2 ruling in favor of discrimination.,U.S. Supreme Court ruled 7 to 2 in favor of Colorado cake artist Jack Phillips in Masterpiece Cakeshop v. Colorado Civil Rights Commission. The ruling reversed the state’s decision to punish Phillips for living and working consistent with his religious beliefs about marriage.
634,879,"Turn’s out, even Spanky’s SCOTUS agreed that he’s NOT above the law. BIG loss for Cheetoman. Show your taxes, big boy.",#SCOTUS reaffirms @realDonaldTrump is not above the law!
153,860,Justices #RBG &amp; #Sotomayor were the only two to vote correctly yesterday. #SCOTUS’s decision has made it even easier for people to deny or over charge women for the healthcare they need. Why is my body/health constantly under attack? #ACA,The 2020 election in addition to the question of Trump vs. America is also a question of Amy Coney Barrett vs Ketanji Brown-Jackson for the next SCOTUS appointment.
321,621,It’s wild that a religious baker got a supreme court decision in his favor bc the people fighting him hated religion more than he hated gays,"republicans when scotus didn’t favor obama: hell yeah! their job isn’t to answer to the president.

republicans when scotus doesn’t favor trump: 👁👄👁"
601,882,The supreme court ruling today is very limited to the case and even got Justice Kagan on board so both sides declaring it a disaster/victory aren't accurate,Let’s go Supreme Court!!!! #smallwins
165,872,"When you want to take away citizens right to peaceful protest for social &amp; civil justice issues but also want a baker to have the right to protest &amp; refuse service out of prejudice against citizens sexuality. 🤔 You may be a #hatemonger 

#SCOTUS #CivilRights #Bigotry  #TakeAKnee","The Supreme Court ruled this week that business owners cannot be forced to celebrate events and express views that violate their conscience, while the President demands that NFL players stand for the anthem. #SCOTUS"
228,128,"I now blame magas as much as gop sen and scotus. As long as they adore this false idol, no official wants to enrage the gop electorate. And I told u guys they feel homicidal toward.anyone who criticizes a hair on his fake orange head",I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.
165,212,"When you want to take away citizens right to peaceful protest for social &amp; civil justice issues but also want a baker to have the right to protest &amp; refuse service out of prejudice against citizens sexuality. 🤔 You may be a #hatemonger 

#SCOTUS #CivilRights #Bigotry  #TakeAKnee",I generally agree with today’s Supreme Court 1st Amendment ruling but the right to do a thing does not mean it is right to do that thing. The baker engaged in exlusionary and hateful behavior which ought to be condemned even if his right to do so has been upheld.
303,259,If the supreme Court sides with Trump on his taxes we know it's all @senatemajldr doing for STACKING the court with bought and paid for judges like KAVANAUGH. We will have to increase pressure on @GOP up for re-election on their votes and hold them ACCOUNTABLE vote them all OUT,"Congrats #MasterpieceCakeshop on the Supreme Court ruling. 

Decorating cakes 🎂 is an art. No one should be forced to make art they don’t agree with!

#SCOTUS #MondayMotivation"
