tweet_id,text,expert1,expert2,expert3
718152140305248257_2018-06-05T01:09:25.000Z,"Just in time for #PrideMonth #Pride2018 #SCOTUS rules in favor of baker, make no mistake, I support folks being gay and all, what I don’t support are those individuals using that as a means to claim some sort of fake rage and false victim hood just because",1,-1,-1
380268462_2018-06-05T04:54:00.000Z,The silliness of the day-long kerfuffle over whether or not Justice Kennedy’s majority opinion in Masterpiece Cakeshop could fairly be described as “narrow” has me _really_ excited for Twitter’s reaction to #SCOTUS’s upcoming rulings on partisan gerrymandering &amp; the travel ban...,1,-1,-1
2732194677_2018-06-05T06:29:38.000Z,"The @Scotus ruling was a 🥧 pie-in-the-face to liberal lunacy. 

@charliekirk11 @Richzeoli @DennisDMZ 

🎂🎂🎂🎂🎂🎂🎂🎂🎂

#CakeEquality #SCOTUS #liberaltears",1,-1,1
231938447_2018-06-04T14:52:44.000Z,"Let’s be real, lame anti-gay cake probably sucks anyway. 

Also, I love you Sonia Sotomayor and RBG ❤️🧡💛💚💙💜

#masterpiececakeshop #scotus",1,1,-1
713426483566522370_2018-06-04T17:27:56.000Z,"#ReligiousFreedom #SCOTUS 
Would a Muslim baker make a gay wedding cake?",1,-1,-1
798379705804038144_2018-06-04T22:13:44.000Z,I’m happy SCOTUS ruled in favor of the baker. Religious liberty should always be honored. Marriage is the union between a man and a woman. Why are we allowing the abomination that is the LGBTQ community corrupt our country? Gay marriage should be illegal.,1,-1,-1
1161006620_2020-07-09T14:38:47.000Z,Breaking: Supreme Court rules New York prosecutors can see Trump’s tax returns. Now we know why the US attorney for the Southern District was fired.,1,-1,0
1232080243457961984_2020-07-09T15:32:39.000Z,"SUPREME COURT: 

TRUMP IS NOT ABOVE THE LAW!",1,1,-1
75445217_2020-07-09T14:19:17.000Z,Not gonna lie....shocked Kavanaugh rules against Trump. I totally thought he was bought and paid for! #SCOTUS #TrumpIsLosing #TrumpIsNotWell,-1,1,1
33100567_2020-07-09T15:16:34.000Z,Gonna have a drink at “the low bar” to celebrate SCOTUS ruling that laws sometimes apply to the president.,-1,-1,1
18517221_2018-06-08T06:04:22.000Z,Any store has the right to hang any sign in their window they wish. Patrons also have the right to spend their money elsewhere. It’s an easy free market solution. Just put them out of business. #SCOTUS #ruling #Resistance #resist #resistbot,1,0,-1
2240189610_2020-07-09T19:44:01.000Z,"What's in your tax records Donnie? More corruption, lies Barr can't stop us from setting the record straight. Thank you Supreme Court Justices, at least 7 of you understand the President is NOT above the law.",-1,1,1
1252748378892632064_2020-07-09T16:27:43.000Z,Donald Trumps Temper tantrum over Supreme Court ruling gives me lifeee!!! Keep it going bunker bitch #TrumpTaxes #SCOTUS #TrumpMeltdown #TrumpTaxReturns,1,-1,1
894703634658635777_2018-06-04T16:50:44.000Z,1 or 2 more appointments and the Supreme Court will be once again be upholding the Constitution instead of interpreting it.,-1,0,1
1252784556_2018-06-04T20:04:04.000Z,Bravo to the Supreme Court for not allowing crazy leftists to force feed their agenda onto free americans just trying to live guided by their principles. Hopefully this sends a message. #getyourcakesomewhereelse #crybabies,-1,1,1
878704818323247109_2020-07-09T16:40:39.000Z,Jay Sekulow Trump's lawyer who argued his case before the Supreme Court is drinking big time right now. And he's about to be fired and probably not being paid. Good morning!!!,1,-1,-1
306112609_2018-06-05T09:29:41.000Z,"As a Christian, I’m not rejoicing over #SCOTUS decision, that the Baker didn’t have to make the cake. We aren’t called to agree with our neighbor, we are called to love them! #LoveYourNeighbor #BeLikeJesus #LoveWins",-1,1,-1
